uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-317-55,①,settlement-gentlemen-1,Skelmersdale,Lancaster,Lancashire,"W. Darby","West Derby","53 39 2 38W","53.65 -2.63","POINT(-2.63 53.65)"
IV1680-317-56,①,settlement-gentlemen-1,Skelmerthorp,"York W.R.","Yorkshire West Riding",Staincross,Staincross,"53 36 1 22W","53.6 -1.36","POINT(-1.36 53.6)"
IV1680-317-57,①,settlement-gentlemen-1,Skelsmore,Westmorland,Westmorland,"Kendal Ward","Kendal Ward","54 29 2 25W","54.48 -2.41","POINT(-2.41 54.48)"
IV1680-317-58,①,settlement-gentlemen-1,Skelton,Cumberland,Cumberland,"Lethward W.","Leath Ward","54 49 2 27W","54.81 -2.45","POINT(-2.45 54.81)"
IV1680-317-59,①,settlement-gentlemen-1,Skelton,"York E.R.","Yorkshire East Riding",Howdenshire,Morley,"53 48 0 32W","53.8 -0.53","POINT(-0.53 53.8)"
IV1680-317-60,①,settlement-gentlemen-1,Skelton,"York N.R.","Yorkshire North Riding",Bulmer,Bulmer,"54 03 0 52W","54.05 -0.86","POINT(-0.86 54.05)"
IV1680-318-01,①,settlement-gentlemen-1,Skelton,"York N.R.","Yorkshire North Riding",Gilingwest,"Gilling West","54 27 1 35W","54.45 -1.58","POINT(-1.58 54.45)"
IV1680-318-02,,,Skelton,"York N.R.","Yorkshire North Riding",Hallikeld,Hallikeld,"54 09 1 11W","54.15 -1.18","POINT(-1.18 54.15)"
IV1680-318-03,①,settlement-gentlemen-1,Skelton,"York W.R.","Yorkshire West Riding",Claro,Claro,"53 59 1 24W","53.98 -1.4","POINT(-1.4 53.98)"
IV1680-318-04,②,settlement-gentlemen-2,"Skelton Castle","York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 34 0 42W","54.56 -0.7","POINT(-0.7 54.56)"
IV1680-318-05,①,settlement-gentlemen-1,"Skelton Coat","York N.R.","Yorkshire North Riding",Hangwest,Barkston,"54 23 1 32W","54.38 -1.53","POINT(-1.53 54.38)"
IV1680-318-06,⛪,parish,Skendleby,Lincoln,Lincolnshire,Candlestow,Candleshoe,"53 17 0 14E","53.28 0.23","POINT(0.23 53.28)"
IV1680-318-07,②,settlement-gentlemen-2,Skenfrith,Monmoth,Monmouthshire,Skenfrith,Skenfreth,"51 54 2 42W","51.9 -2.7","POINT(-2.7 51.9)"
IV1680-318-08,ʘ,seat-gentleman,"Skenfrith Castle",Monmoth,Monmouthshire,Skenfrith,Skenfreth,"51 54 2 42W","51.9 -2.7","POINT(-2.7 51.9)"
IV1680-318-09,,,Skernwood,Northumberl.,Northumberland,"Cocquetdale W.","Coquetdale Ward","55 26 1 27W","55.43 -1.45","POINT(-1.45 55.43)"
